symbol,date,open,high,low,close,volume,adjusted,ticker,djia
AXP,2020-03-25,87.610001,96.459999,85.32,90.169998,11046500,90.169998,AXP,1
AXP,2020-03-26,92.239998,99.690002,90.839996,93.290001,9459400,93.290001,AXP,1
AXP,2020-03-27,87.940002,91.970001,85.82,88.730003,7000135,88.730003,AXP,1
AXP,2020-03-30,88.510002,91.389999,85.269997,90.269997,5562700,90.269997,AXP,1
AXP,2020-03-31,89.940002,90.900002,85.07,85.610001,6075900,85.137077,AXP,1
AXP,2020-04-01,80.650002,81.309998,77,77.839996,8307600,77.409996,AXP,1
AXP,2020-04-02,77.059998,79.120003,75.830002,76.660004,8338100,76.660004,AXP,1
AXP,2020-04-03,76,76.660004,72.610001,73.599998,9902194,73.599998,AXP,1
AXP,2020-04-06,80.220001,84.25,78.739998,83.870003,11253000,83.870003,AXP,1
AXP,2020-04-07,91.43,93.300003,87.419998,87.580002,8693200,87.580002,AXP,1
AXP,2020-04-08,89.209999,93,88.120003,92.080002,6122800,92.080002,AXP,1
AXP,2020-04-09,94.589996,97.849998,93.459999,94.82,6905000,94.82,AXP,1
AXP,2020-04-13,93.290001,93.419998,87.940002,90.330002,5036900,90.330002,AXP,1
BA,2020-01-02,328.549988,333.350006,327.700012,333.320007,4544400,331.348572,BA,1
BA,2020-01-03,330.630005,334.890015,330.299988,332.76001,3875900,330.791901,BA,1
BA,2020-01-06,329.299988,334.859985,327.880005,333.73999,5355000,331.766083,BA,1
BA,2020-01-07,334.26001,344.190002,330.709991,337.279999,9898600,335.285156,BA,1
BA,2020-01-08,332.399994,334.029999,329.600006,331.369995,8239200,329.410095,BA,1
BA,2020-01-09,334.950012,341.730011,332.049988,336.339996,8175600,334.350708,BA,1
BA,2020-01-10,335.559998,337.700012,329.450012,329.920013,7161700,327.968689,BA,1
BA,2020-01-13,332.399994,334.100006,330.079987,330.220001,5648500,328.266907,BA,1
BA,2020-01-14,330.76001,335.350006,328.279999,332.350006,6945300,330.384308,BA,1
BA,2020-01-15,332.350006,333.109985,329.690002,329.799988,4578300,327.849396,BA,1
BA,2020-01-16,331.049988,332.869995,329.309998,332,4024100,330.036377,BA,1
BA,2020-01-17,332.390015,332.5,323,324.149994,11061700,322.232819,BA,1
BA,2020-01-21,322.600006,326.600006,305.75,313.369995,19318000,311.516571,BA,1
BA,2020-01-22,309.820007,312.839996,302.720001,309,18792600,307.172424,BA,1
BA,2020-01-23,308.5,318.170013,307.700012,317.790009,9702100,315.910431,BA,1
BA,2020-01-24,322,326.200012,312.51001,323.049988,17798200,321.139313,BA,1
BA,2020-01-27,316.209991,321.26001,314.579987,316.600006,7468100,314.727478,BA,1
