headlines,date,type
Trump Says No Americans or Iraqis Were Killed in Missile Strikes and Iran Is <e2><80><98>Standing Down<e2><80><99>,2020-01-08,topNewsHeadlines
Robert Irwin Struggles To Hold Back Tears While Discussing The Impact Of The Australian Bushfires,2020-01-08,topNewsHeadlines
Covington Catholic Student Nick Sandmann Gets Settlement From CNN After $275 Million Lawsuit,2020-01-08,topNewsHeadlines
"Prince Harry and Meghan Markle Step Down as Senior Royals, Moving to Canada",2020-01-08,topNewsHeadlines
Mac Miller's Posthumous Album 'Circles' Will Be Released Next Week,2020-01-08,topNewsHeadlines
"Ruth Bader Ginsburg says she is starting 2020 ""cancer free""",2020-01-08,topNewsHeadlines
"6.4-magnitude quake strikes Puerto Rico, killing at least 1 amid heavy seismic activity",2020-01-08,topNewsHeadlines
Boeing 737,2020-01-08,topTrendingOnSm
Mike Lee,2020-01-08,topTrendingOnSm
#NoWarWithlran,2020-01-08,topTrendingOnSm
#IvotedforHillaryClinton,2020-01-08,topTrendingOnSm
#AEWDynamite,2020-01-08,topTrendingOnSm
First BTS MV,2020-01-08,topTrendingOnSm
Mac Miller,2020-01-08,topTrendingOnSm
#iHeartAwards,2020-01-08,topTrendingOnSm
ALL IS WELL,2020-01-08,topTrendingOnSm
#IranAttacks,2020-01-08,topTrendingOnSm
Harry and Meghan,2020-01-08,topTrendingOnSm
#TrumpSpeech,2020-01-08,topTrendingOnSm
"Russ returns to OKC. Here's our tribute video he watched in the arena tonight. https://t.co/tNsf3J8nGe<e2><80><94> OKC THUNDER (@okcthunder) January 10, 2020White people do all this to save a dog from the streets but literally ignore the homeless human man they<e2><80><99>re stealing from https://t.co/oAZCOJfdFA<e2><80><94> dah<f0><9f><8c><bb>meh<f0><9f><8c><bb>lee<f0><9f><8c><bb> (@Dah_meh_lee) ",2020-01-09,topTweets
"If you're doing crimes, you'll be doing time. <f0><9f><98><8e>Team up with #Brooklyn99 for Season 7, beginning February 6 on @NBC. https://t.co/ExcEQXIY7q<e2><80><94> Brooklyn Nine-Nine (@nbcbrooklyn99) ",2020-01-09,topTweets
"Ruth Bader Ginsburg says she is starting 2020 ""cancer free""",2020-01-09,topNewsHeadlines
Insulting and demeaning': Two GOP lawmakers rip Trump administration after Iran briefing,2020-01-09,topNewsHeadlines
Ukrainian flight 752 shot down by anti-aircraft missile,2020-01-09,topNewsHeadlines
"BREAKING: Iranian Missile Likely Shot Down Ukrainian Plane By Mistake, Report Says",2020-01-09,topNewsHeadlines
U.S. officials confident Iran shot down passenger jet,2020-01-09,topNewsHeadlines
Mac Miller's Family Announces Late Artist's New Album 'Circles',2020-01-09,topNewsHeadlines
House to vote on War Powers resolution limiting Trump on Iran; Pelosi facing mounting impeachment pressure,2020-01-09,topNewsHeadlines
Justice Ginsburg confirms she's 'cancer free',2020-01-09,topNewsHeadlines
JUST IN: Court Approves $3.6 Billion For Border Wall; Trump Responds,2020-01-09,topNewsHeadlines
"Prince Harry and Meghan Markle Step Down as Senior Royals, Moving to Canada",2020-01-09,topNewsHeadlines
Warriors ,2020-01-09,topNewsHeadlines
 Season 2020 Cinematic - League of Legends (ft. 2WEI and Edda Hayes),2020-01-09,topNewsHeadlines
#LawEnforcementAppreciationDay,2020-01-09,topTrendingOnSm
Mike Leach,2020-01-09,topTrendingOnSm
#PokemonDirect,2020-01-09,topTrendingOnSm
Underwater,2020-01-09,topTrendingOnSm
Doug Collins,2020-01-09,topTrendingOnSm
Boosie,2020-01-09,topTrendingOnSm
#JeopardyGOAT,2020-01-09,topTrendingOnSm
Happy Founders,2020-01-09,topTrendingOnSm
PTSD,2020-01-09,topTrendingOnSm
Buck Henry,2020-01-09,topTrendingOnSm
#ShadowComebackTrailer,2020-01-09,topTrendingOnSm
#AEWDynamite,2020-01-09,topTrendingOnSm
"That was cute https://t.co/iwmoxiiwPC<e2><80><94> <f0><9f><87><b5><f0><9f><87><ad>YOUNGTATTEDTSUNAMI<f0><9f><8c><8a> (@Bin4hunnid) January 9, 2020White people do all this to save a dog from the streets but literally ignore the homeless human man they<e2><80><99>re stealing from https://t.co/oAZCOJfdFA<e2><80><94> dah<f0><9f><8c><bb>meh<f0><9f><8c><bb>lee<f0><9f><8c><bb> (@Dah_meh_lee) January 9, 2020<e2><80><9c>This is not how you play this<e2><80><9d><e2><80><9c>This is exactly how you play this<e2><80><9d> https://t.co/nLOKwsFZqI<e2><80><94> picolo (@_gabrielpicolo) ",2020-01-10,topTweets
Rush Drummer Neil Peart Dead at 67,2020-01-10,topNewsHeadlines
Video Shows Ukrainian Plane Being Hit Over Iran,2020-01-10,topNewsHeadlines
Grey's Anatomy Star Justin Chambers Leaving the Show After 16 Seasons,2020-01-10,topNewsHeadlines
Man hacking his girlfriend's favorite Disney movie might be the best proposal ever,2020-01-10,topNewsHeadlines
House passes measure seeking to limit Trump's military actions against Iran,2020-01-10,topNewsHeadlines
