date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
2020-04-01,IA,549,7304,NA,63,99,NA,NA,NA,NA,118,c2d7f358dcc4c936b1651f06d65c5bd7ef3ab8a2,9,99,7853,7853,7853,19,2,5,416,52,468
2020-04-01,ID,525,6076,NA,NA,46,NA,7,NA,NA,NA,cc12e3fa599537f47fad0258e0009e6ef9fe0581,9,46,6601,6601,6601,16,2,1,779,110,889
2020-04-01,IL,6980,33404,NA,NA,NA,NA,NA,NA,NA,NA,026b984139faebf730612961db2541ecac874f45,141,NA,40384,40384,40384,17,42,0,4173,986,5159
2020-04-01,IN,2565,11810,NA,NA,NA,NA,NA,NA,NA,NA,fcc053001d98ddb6739b2610781931fbb476aac3,65,NA,14375,14375,14375,18,16,0,596,406,1002
2020-04-01,KS,482,5411,NA,NA,114,NA,NA,NA,NA,NA,d8abbc3a45478014e68bb1033ec072f19a68ec6a,10,114,5893,5893,5893,20,1,35,415,54,469
2020-04-01,KY,591,6965,NA,NA,NA,NA,NA,NA,NA,NA,d401a0f0702a3e7442668504f89d9bbf0fd9db08,17,NA,7556,7556,7556,21,6,0,635,111,746
2020-04-01,LA,6424,39352,NA,1498,NA,NA,NA,490,NA,NA,ac01fe3940d3352133ae344db486ff72f25cf244,273,NA,45776,45776,45776,22,34,0,5622,1187,6809
2020-04-01,MA,7738,44000,NA,NA,682,NA,NA,NA,NA,NA,70ea3d599c7c506eafd12cbed1d23daa16709040,122,682,51738,51738,51738,25,33,120,3685,1118,4803
2020-04-01,MD,1985,17233,NA,NA,522,NA,NA,NA,NA,NA,37fdabd80821d81988b5e5a11005bbe7e3a77a5f,31,522,19218,19218,19218,24,13,93,2365,325,2690
2020-04-01,ME,344,6088,NA,NA,63,NA,NA,NA,NA,80,d31aa8304a5b094eb4d5598468a141d0f896f408,7,63,6432,6432,6432,23,2,6,0,41,41
